session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,exclusion1_name,exclusion1_description,exclusion2_name,exclusion2_description,condition1_name,condition2_name,condition3_name,condition4_name,condition5_name,condition6_name,condition7_name,vol_id
6382,NA,2009-05-18,SHARED,M-EA-20,2003-11-07,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Angry,Fear,Disgust,Surprise,Neutral,Sad,30
6383,NA,2009-05-25,SHARED,M-EA-21,2004-11-16,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Angry,Disgust,Surprise,Fear,Neutral,NA,30
6384,NA,2009-05-26,SHARED,M-EA-23,2004-02-08,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Fear,Neutral,Angry,NA,NA,NA,NA,30
6385,NA,2009-06-03,SHARED,M-EA-25,2004-02-25,Male,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Neutral,Happy,Fear,Angry,Disgust,Surprise,NA,30
6386,NA,2009-06-05,SHARED,M-EA-26,2004-11-03,Male,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Surprise,Neutral,Happy,Angry,Sad,Fear,Disgust,30
6387,NA,2009-06-05,SHARED,M-EA-27,2006-05-17,Male,White,NA,NA,NA,NA,NA,Neutral,Happy,Angry,Surprise,NA,NA,NA,30
6388,NA,2009-06-16,SHARED,M-EA-29,2003-11-28,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Happy,Surprise,Disgust,Fear,Angry,NA,30
6389,NA,2009-06-16,SHARED,M-EA-30,2004-08-10,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Disgust,Angry,NA,NA,NA,30
6390,NA,2009-07-09,SHARED,M-EA-34,2003-08-11,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Angry,Sad,Disgust,Surprise,NA,30
6391,NA,2009-07-09,SHARED,M-EA-35,2003-12-27,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Angry,Disgust,Surprise,NA,NA,30
6392,NA,2009-07-14,SHARED,M-EA-37,2004-05-03,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Sad,Fear,Disgust,Angry,NA,NA,30
6393,NA,2009-05-19,SHARED,M-EA-38,2002-07-29,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Angry,Sad,Disgust,Fear,Surprise,Neutral,30
6394,NA,2010-03-25,SHARED,M-LA-02,2004-09-28,Male,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Sad,Neutral,Angry,Disgust,Happy,Surprise,Fear,30
6395,NA,2010-04-13,SHARED,M-LA-03,2005-03-09,Male,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Angry,Disgust,Fear,NA,NA,30
6396,NA,2010-05-13,SHARED,M-LA-04,2005-04-23,Male,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Angry,Neutral,Fear,Surprise,Happy,NA,NA,30
6397,NA,2011-07-11,SHARED,M-LA-06,2006-06-08,Male,NA,Hispanic or Latino,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Neutral,Happy,Angry,Surprise,NA,NA,NA,30
6398,NA,2011-09-09,SHARED,M-LA-08,2004-11-17,Male,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Angry,Sad,Disgust,Surprise,Happy,Fear,30
6399,NA,2011-09-09,SHARED,M-LA-09,NA,Male,NA,Hispanic or Latino,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Sad,Fear,Surprise,Disgust,Neutral,Angry,30
6400,NA,2011-09-09,SHARED,M-LA-10,2005-02-25,Male,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Angry,Sad,Fear,Surprise,Neutral,Happy,Disgust,30
6401,NA,2009-04-24,SHARED,F-EA-14,2005-09-01,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Surprise,Fear,Disgust,Neutral,Angry,NA,30
6402,NA,2009-07-08,SHARED,F-EA-19,2004-05-31,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Fear,Angry,NA,NA,NA,NA,30
6403,NA,2010-06-18,SHARED,F-EA-42,2005-11-14,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Angry,Fear,Neutral,Sad,Surprise,Disgust,30
6404,NA,2011-09-09,SHARED,F-LA-10,2005-09-06,Female,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Surprise,Disgust,Neutral,Angry,Sad,Fear,30
6405,NA,2010-02-03,SHARED,M-AA-02,2004-10-07,Male,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Angry,Neutral,NA,NA,NA,NA,30
6406,NA,2009-06-03,SHARED,M-EA-24,2002-06-12,Male,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Neutral,Angry,Happy,Surprise,Disgust,NA,NA,30
6407,NA,2010-02-16,SHARED,F-AA-04,2006-01-02,Female,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Disgust,Fear,Happy,Surprise,Neutral,NA,NA,30
6408,NA,2009-06-03,SHARED,F-EA-20,2004-07-30,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Disgust,Happy,Surprise,NA,NA,NA,NA,30
6409,NA,2009-07-10,SHARED,F-EA-37,2003-10-16,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Happy,Disgust,NA,NA,NA,NA,30
6410,NA,2009-06-03,SHARED,F-EA-40,2001-09-21,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Fear,Disgust,Neutral,NA,NA,NA,30
6411,NA,2011-09-09,SHARED,F-LA-11,2005-06-06,Female,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Sad,Fear,Disgust,Neutral,NA,NA,30
6412,NA,2010-05-13,SHARED,M-AA-10,2005-11-15,Male,Black or African American,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Sad,Disgust,Neutral,NA,NA,NA,NA,30
6413,NA,2010-02-24,SHARED,M-AS-03,2004-08-20,Male,Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Neutral,Disgust,NA,NA,NA,NA,30
6414,NA,2010-04-13,SHARED,M-AS-05,2005-03-04,Male,Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Fear,Disgust,NA,NA,NA,NA,30
6415,NA,2009-07-10,SHARED,M-EA-36,2004-11-10,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Disgust,Surprise,Neutral,NA,NA,NA,NA,30
6416,NA,2011-09-09,SHARED,M-LA-07,2008-08-17,Male,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Surprise,Disgust,NA,NA,NA,NA,30
6417,NA,2010-04-08,SHARED,F-AS-06,2007-07-24,Female,Asian,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Surprise,Disgust,Happy,NA,NA,NA,30
6418,NA,2009-03-26,SHARED,F-EA-09,2003-09-08,Female,White,NA,NA,NA,NA,NA,Disgust,Neutral,NA,NA,NA,NA,NA,30
6419,NA,2009-05-26,SHARED,M-EA-22,2004-02-09,Male,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Neutral,Fear,Disgust,NA,NA,NA,30
6420,NA,2010-03-23,SHARED,M-LA-01,2005-07-21,Male,NA,Hispanic or Latino,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,NA,NA,Disgust,Neutral,Happy,NA,NA,NA,NA,30
6421,NA,2011-07-11,SHARED,M-LA-05,2005-04-14,Male,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Neutral,Happy,Sad,Fear,Disgust,NA,NA,30
6422,NA,2008-08-27,SHARED,F-EA-06,2003-05-30,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Neutral,Fear,NA,NA,NA,NA,30
6423,NA,2009-04-06,SHARED,F-EA-11,2003-08-17,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Fear,Neutral,NA,NA,NA,NA,30
6424,NA,2011-09-09,SHARED,F-LA-09,2006-12-31,Female,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Fear,Happy,NA,NA,NA,NA,30
6425,NA,2009-06-08,SHARED,M-EA-28,2003-11-17,Male,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Happy,Fear,Surprise,NA,NA,NA,NA,30
6426,NA,2008-08-11,SHARED,F-EA-05,2003-03-18,Female,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Surprise,Fear,NA,NA,NA,NA,NA,30
6427,NA,2011-07-11,SHARED,F-LA-06,2006-07-22,Female,NA,Hispanic or Latino,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Surprise,Fear,Neutral,NA,NA,NA,30
6428,NA,2009-03-23,SHARED,F-EA-05,2003-03-18,Female,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,NA,NA,Happy,Neutral,NA,NA,NA,NA,NA,30
6429,NA,2011-07-11,SHARED,F-LA-07,2006-06-01,Female,NA,Hispanic or Latino,NA,NA,NA,NA,Happy,Sad,Neutral,Surprise,NA,NA,NA,30
6430,NA,2011-09-09,SHARED,F-LA-08,2007-05-17,Female,NA,Hispanic or Latino,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Neutral,Happy,NA,NA,NA,NA,NA,30
6431,NA,2008-07-24,SHARED,M-EA-01,2003-01-13,Male,White,NA,NA,NA,NA,NA,Happy,Neutral,NA,NA,NA,NA,NA,30
6432,NA,2008-08-06,SHARED,M-EA-03,2003-04-25,Male,White,NA,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,NA,NA,Happy,Neutral,NA,NA,NA,NA,NA,30
6433,NA,2009-04-08,SHARED,M-EA-15,2003-10-01,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Neutral,NA,NA,NA,NA,NA,30
6434,NA,2009-04-09,SHARED,M-EA-16,2004-06-21,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Happy,Surprise,Neutral,NA,NA,NA,NA,30
6435,NA,2009-04-21,SHARED,M-EA-17,2004-12-16,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,Subset B,Subset B contains only faces that have infit and outfit scores within the 0.5 to 1.5 range.,Happy,Sad,Neutral,NA,NA,NA,NA,30
6436,NA,2009-06-24,SHARED,M-EA-32,2004-09-23,Male,White,NA,Subset A,Subset A contains only faces that were identified with greater or equal to 60% accuracy at Time 1.,NA,NA,Neutral,Sad,Surprise,NA,NA,NA,NA,30
9822,Top-level materials,materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
